Date,Company,Sentiment_Score
19-05-2025,Infosys,0.8122
20-05-2025,Reliance,0.34
21-05-2025,Infosys,0.1858
23-05-2025,Infosys,0
23-05-2025,Reliance,0
27-05-2025,Infosys,0.148
28-05-2025,HDFC,0.6486
28-05-2025,Infosys,0
29-05-2025,HDFC,0
29-05-2025,Infosys,0
30-05-2025,Infosys,0
04-06-2025,Infosys,0.8591
05-06-2025,Infosys,0.6369
11-06-2025,Reliance,0
13-06-2025,Reliance,0.34
17-06-2025,HDFC,0.597166667
18-06-2025,Infosys,0
18-06-2025,Netflix,0.07115
19-06-2025,Infosys,0.296
19-06-2025,Netflix,0.406925
20-06-2025,Netflix,0.17372
21-06-2025,Netflix,0.8519
22-06-2025,Netflix,0.180025
23-06-2025,Infosys,0
23-06-2025,Netflix,0.15595
24-06-2025,Netflix,0.08945
24-06-2025,Reliance,0.264
25-06-2025,Netflix,0.13819
26-06-2025,Infosys,0.5994
26-06-2025,Netflix,0.196633333
27-06-2025,Netflix,0.066641667
28-06-2025,Google,0.218016667
28-06-2025,Microsoft,0.6369
28-06-2025,Netflix,0
29-06-2025,Google,0.43834
30-06-2025,Google,0.06497
30-06-2025,Netflix,0.1121
01-07-2025,Google,0.140906667
01-07-2025,Meta,0.003685714
01-07-2025,Netflix,0.177783333
02-07-2025,Amazon,0.19165
02-07-2025,Apple,0.068056667
02-07-2025,Google,0.108092308
02-07-2025,Infosys,0.743
02-07-2025,Meta,0.129442424
02-07-2025,Microsoft,-0.088692593
02-07-2025,Netflix,0.186544444
02-07-2025,Reliance,0
02-07-2025,Tesla,0.249666667
03-07-2025,Amazon,0.207697368
03-07-2025,Apple,0.06600303
03-07-2025,Google,0.2112875
03-07-2025,HDFC,0.6486
03-07-2025,Infosys,0.3488
03-07-2025,Meta,0.089003125
03-07-2025,Microsoft,0.076607317
03-07-2025,Netflix,0
03-07-2025,Reliance,0.148
03-07-2025,Tesla,0.066484783
04-07-2025,Amazon,0.502428571
04-07-2025,Apple,0.2355
04-07-2025,Google,-0.003375
04-07-2025,Meta,0.1238625
04-07-2025,Microsoft,0.089288235
04-07-2025,Netflix,0.2121
04-07-2025,Reliance,0
04-07-2025,Tesla,-0.0576875
05-07-2025,Amazon,0.283042857
05-07-2025,Apple,0.00462
05-07-2025,Google,0.50932
05-07-2025,Infosys,0
05-07-2025,Meta,0.44814
05-07-2025,Microsoft,0.0803
05-07-2025,Netflix,0.2057
05-07-2025,Tesla,-0.084245455
06-07-2025,Amazon,0.3122
06-07-2025,Apple,-0.067646154
06-07-2025,Google,0.230366667
06-07-2025,HDFC,0.208
06-07-2025,Infosys,0.624
06-07-2025,Meta,0.238516667
06-07-2025,Microsoft,-0.006
06-07-2025,Netflix,-0.051033333
06-07-2025,Reliance,0.624
06-07-2025,Tesla,0.122876471
07-07-2025,Infosys,-0.34
07-07-2025,Reliance,0.2732
16-01-2025,Infosys,0.1148
30-06-2025,Netflix,0.04526
03-07-2025,Infosys,0.31245
03-07-2025,Reliance,0
07-07-2025,HDFC,0.4019
07-07-2025,Infosys,0.1779
07-07-2025,Netflix,0.1339
08-07-2025,Google,-0.04405
08-07-2025,Microsoft,0
08-07-2025,Netflix,0.063633333
09-07-2025,Google,0.044580769
09-07-2025,Netflix,0.253533333
09-07-2025,Reliance,0
10-07-2025,Amazon,0.4588
10-07-2025,Apple,0.05915
10-07-2025,Google,0.099504348
10-07-2025,Meta,0.123116667
10-07-2025,Microsoft,0.07636
10-07-2025,Netflix,0.230357143
10-07-2025,Reliance,0.34
10-07-2025,Tesla,0.25
11-07-2025,Amazon,0.187796667
11-07-2025,Apple,0.120286842
11-07-2025,Google,0.199935714
11-07-2025,Meta,0.181013793
11-07-2025,Microsoft,0.266348485
11-07-2025,Netflix,0.096194444
11-07-2025,Reliance,0.243
11-07-2025,Tesla,0.113166667
12-07-2025,Amazon,0.2817875
12-07-2025,Apple,0.09249375
12-07-2025,Google,0.235066667
12-07-2025,Meta,0.237281818
12-07-2025,Microsoft,0.25127
12-07-2025,Netflix,-0.127266667
12-07-2025,Tesla,0.297285714
13-07-2025,Amazon,0.078744444
13-07-2025,Apple,0.09765
13-07-2025,Google,0.390316667
13-07-2025,Infosys,0
13-07-2025,Meta,0.452428571
13-07-2025,Microsoft,0.203933333
13-07-2025,Netflix,0.13829
13-07-2025,Reliance,0
13-07-2025,Tesla,0.04043
14-07-2025,Amazon,0.209493023
14-07-2025,Apple,0.126330556
14-07-2025,Google,0.002442857
14-07-2025,Infosys,-0.3243
14-07-2025,Meta,0.176131818
14-07-2025,Microsoft,0.150373171
14-07-2025,Netflix,0.047318182
14-07-2025,Tesla,-0.015064151
15-07-2025,HDFC,0.577833333
15-07-2025,Infosys,0.4404
